text	part of speech
'	@quote@
'	@quote@
Aparaṃ	adverb
pana	conjunction
,	@comma@
bhante	noun
,	@comma@
etadānuttariyaṃ	@sandhi@
,	@comma@
yathā	adverb
bhagavā	noun
dhammaṃ	noun
deseti	verb
sassatavādesu	noun
.	@point@

Te	personal pronoun
ca	coordinative conjunciton
sattā	noun
sandhāvanti	verb
saṃsaranti	verb
cavanti	verb
upapajjanti	verb
,	@comma@
atthitveva	@sandhi@
sassatisama	@sandhi@
nti	@sandhi@
.	@point@

seyyathā	adverb
api	coordinative conjunciton

Ayaṃ	demonstrative pronoun
paṭhamo	ordinal adjective
sassatavādo	noun
.	@point@

Pathaviyāpi	@sandhi@
pathaviyā	noun
api	coordinative conjunciton
ummujjanimujjaṃ	noun
karoti	verb
,	@comma@
seyyathāpi	@sandhi@
udake	noun
.	@point@

udake	noun
pi	coordinative conjunciton

Udakepi	@sandhi@
abhijjamāne	present passive participle
gacchati	verb
,	@comma@
seyyathāpi	@sandhi@
seyyathā	adverb
api	coordinative conjunciton
pathaviyaṃ	noun
.	@point@

Ākāsepi	@sandhi@
pallaṅkena	noun
kamati	verb
,	@comma@
seyyathāpi	@sandhi@
seyyathā	adverb
api	coordinative conjunciton
pakkhī	noun
sakuṇo	noun
.	@point@

vihareyyaṃ	verb
ti	quotation particle

'	@quote@
'	@quote@
Katamā	interrogative pronoun
pana	conjunction
,	@comma@
bhante	noun
,	@comma@
iddhi	noun
anāsavā	adjective
anupadhikā	adjective
,	@comma@
'	@quote@
ariyā	adjective
ti	quotation particle
vuccati	verb
.	@point@

Idha	preposition
,	@comma@
bhante	noun
,	@comma@
bhikkhu	noun
sace	conjunction
ākaṅkhati	verb
'	@quote@
paṭikūle	noun
appaṭikūlasaññī	adjective
vihareyya	@sandhi@
nti	@sandhi@
vihareyyaṃ	verb
ti	quotation particle
,	@comma@
appaṭikūlasaññī	adjective
tattha	preposition
viharati	verb
.	@point@

Sace	conjunction
ākaṅkhati	verb
'	@quote@
paṭikūle	noun
ca	coordinative conjunciton
appaṭikūle	noun
ca	coordinative conjunciton
appaṭikūlasaññī	adjective
vihareyya	@sandhi@
nti	@sandhi@
,	@comma@
appaṭikūlasaññī	adjective
tattha	preposition
viharati	verb
.	@point@

Bhāradvājo	proper noun
pi	coordinative conjunciton
ayaṃ	demonstrative pronoun
eva	emphatic particle
ayaṃ	demonstrative pronoun
añjasāyano	noun
māṇavo	noun
pi	coordinative conjunciton
tena	pronoun
upasaṅkamiṃsu	verb

Sace	conjunction
ākaṅkhati	verb
'	@quote@
paṭikūlañca	@sandhi@
paṭikūlaṃ	noun
ca	coordinative conjunciton
appaṭikūlañca	@sandhi@
appaṭikūlaṃ	noun
ca	coordinative conjunciton
tadubhayaṃ	adjective
abhinivajjetvā	absolutive
upekkhako	adjective
vihareyyaṃ	verb
sato	past passive participle
sampajāno	adjective
ti	quotation particle
,	@comma@
upekkhako	adjective
tattha	preposition
viharati	verb
sato	past passive participle
sampajāno	adjective
.	@point@

Neva	@sandhi@
kho	emphatic particle
asakkhi	verb
vāseṭṭho	proper noun
māṇavo	noun
bhāradvājaṃ	proper noun
māṇavaṃ	noun
saññāpetuṃ	infinitive
,	@comma@
na	negation particle
pana	conjunction
asakkhi	verb
bhāradvājo	proper noun
māṇavopi	@sandhi@
vāseṭṭhaṃ	proper noun
māṇavaṃ	noun
saññāpetuṃ	infinitive
.	@point@

Atha	coordinative conjunciton
kho	emphatic particle
vāseṭṭhabhāradvājā	noun
māṇavā	noun
yena	relative pronoun
bhagavā	noun
tenupasaṅkamiṃsu	@sandhi@
;	@semicolon@
upasaṅkamitvā	absolutive
bhagavatā	noun
saddhiṃ	adverb
sammodiṃsu	verb
.	@point@

Napi	@sandhi@
na	negation particle
pi	coordinative conjunciton
kira	emphatic particle
tevijjānaṃ	adjective
brāhmaṇānaṃ	noun
ācariyapācariyehi	noun
brahmā	proper noun
sakkhidiṭṭho	past passive participle
.	@point@

'	@quote@
'	@quote@
Seyyathāpi	@sandhi@
,	@comma@
vāseṭṭha	proper noun
,	@comma@
puriso	noun
evaṃ	demonstrative adverb
vadeyya	verb
'	@quote@
'	@quote@
ahaṃ	pronoun
yā	relative personal pronoun
imasmiṃ	demonstrative pronoun
janapade	noun
janapadakalyāṇī	noun
,	@comma@
taṃ	personal pronoun
icchāmi	verb
,	@comma@
taṃ	personal pronoun
kāmemī	verb
ti	quotation particle
.	@point@

Cakkhuviññeyyā	future passive participle
rūpā	adjective
iṭṭhā	past passive participle
kantā	past passive participle
manāpā	adjective
piyarūpā	adjective
kāmūpasaṃhitā	past active participle
rajanīyā	noun
.	@point@

'	@quote@
'	@quote@
Seyyathāpi	@sandhi@
,	@comma@
vāseṭṭha	proper noun
,	@comma@
ayaṃ	demonstrative pronoun
aciravatī	proper noun
nadī	noun
pūrā	adjective
udakassa	noun
samatittikā	adjective
kākapeyyā	past passive participle
.	@point@

Ime	demonstrative pronoun
kho	emphatic particle
,	@comma@
vāseṭṭha	proper noun
,	@comma@
pañca	cardinal adjecitve
nīvaraṇā	noun
ariyassa	noun
vinaye	noun
āvaraṇātipi	@sandhi@
āvaraṇā	noun
ti	quotation particle
pi	coordinative conjunciton
vuccanti	verb
,	@comma@
nīvaraṇātipi	@sandhi@
nīvaraṇā	noun
ti	quotation particle
pi	coordinative conjunciton
vuccanti	verb
,	@comma@
onāhanātipi	@sandhi@
onāhanā	noun
ti	quotation particle
pi	coordinative conjunciton
vuccanti	verb
,	@comma@
pariyonāhanātipi	@sandhi@
pariyonāhanā	noun
ti	quotation particle
pi	coordinative conjunciton
vuccanti	verb
.	@point@

'	@quote@
'	@quote@
Imehi	demonstrative pronoun
kho	emphatic particle
,	@comma@
vāseṭṭha	proper noun
,	@comma@
pañcahi	cardinal adjecitve
nīvaraṇehi	noun
tevijjā	adjective
brāhmaṇā	noun
āvuṭā	past passive participle
nivuṭā	past passive participle
onaddhā	past passive participle
pariyonaddhā	past passive participle
.	@point@

'	@quote@
'	@quote@
Iti	quotation particle
kira	emphatic particle
,	@comma@
vāseṭṭha	proper noun
,	@comma@
sapariggahā	adjective
tevijjā	adjective
brāhmaṇā	noun
apariggaho	noun
brahmā	proper noun
.	@point@

'	@quote@
'	@quote@
Idha	preposition
kho	emphatic particle
pana	conjunction
te	personal pronoun
,	@comma@
vāseṭṭha	proper noun
,	@comma@
tevijjā	adjective
brāhmaṇā	adjective
āsīditvā	absolutive
saṃsīdanti	verb
,	@comma@
saṃsīditvā	absolutive
visāraṃ	noun
pāpuṇanti	verb
,	@comma@
sukkhataraṃ	adverb
maññe	verb
taranti	verb
.	@point@

Taṃ	pronoun
enaṃ	demonstrative pronoun
tāvat	adverb
eva	emphatic particle
ca	coordinative conjunciton
ahaṃ	pronoun
brahmalokaṃ	proper noun
ca	coordinative conjunciton
brahmalokagāminiṃ	adjective
ca	coordinative conjunciton
Taṃ	pronoun
ca	coordinative conjunciton

Tamenaṃ	@sandhi@
manasākaṭato	proper noun
tāvadeva	@sandhi@
avasaṭaṃ	past passive participle
manasākaṭassa	proper noun
maggaṃ	noun
puccheyyuṃ	verb
.	@point@

Brahmānaṃ	proper noun
cāhaṃ	@sandhi@
,	@comma@
vāseṭṭha	proper noun
,	@comma@
pajānāmi	verb
brahmalokañca	@sandhi@
brahmalokagāminiñca	@sandhi@
paṭipadaṃ	noun
,	@comma@
yathā	adverb
paṭipanno	past passive participle
ca	coordinative conjunciton
brahmalokaṃ	proper noun
upapanno	past passive participle
,	@comma@
tañca	@sandhi@
pajānāmī	verb
ti	quotation particle
.	@point@

Tathā	adverb
catutthaṃ	ordinal adjective
.	@point@

Bhagavā	noun
etadavoca	@sandhi@
avoca	verb
etad	demonstrative pronoun
avoca	verb
.	@point@

'	@quote@
'	@quote@
Dvattiṃsimāni	cardinal adjecitve
,	@comma@
bhikkhave	noun
,	@comma@
mahāpurisassa	noun
mahāpurisalakkhaṇāni	noun
,	@comma@
yehi	relative pronoun
samannāgatassa	past passive participle
mahāpurisassa	noun
dveva	@sandhi@
dvi	cardinal adjecitve
eva	emphatic particle
gatiyo	noun
bhavanti	verb
anaññā	adjective
.	@point@

Sace	conjunction
agāraṃ	noun
ajjhāvasati	verb
,	@comma@
rājā	noun
hoti	verb
cakkavattī	noun
dhammiko	adjective
dhammarājā	noun
cāturanto	adjective
vijitāvī	adjective
janapadatthāvariyappatto	past passive participle
sattaratanasamannāgato	past passive participle
.	@point@

Sace	conjunction
kho	emphatic particle
pana	conjunction
agārasmā	noun
anagāriyaṃ	noun
pabbajati	verb
,	@comma@
arahaṃ	noun
hoti	verb
sammāsambuddho	noun
loke	noun
vivaṭṭacchado	adjective
.	@point@

Buddho	noun
samāno	noun
idaṃ	demonstrative pronoun
labhati	verb
Etamatthaṃ	@sandhi@
etaṃ	demonstrative pronoun
atthaṃ	noun
bhagavā	noun
avoca	verb
.	@point@

Tatthetaṃ	@sandhi@
tattha	preposition
etaṃ	demonstrative pronoun
vuccati	verb
.	@point@

Mudutalunahatthapādo	adjective
ca	coordinative conjunciton
hoti	verb
jālahatthapādo	adjective
ca	coordinative conjunciton
.	@point@

Rājā	noun
samāno	present active participle
idaṃ	demonstrative pronoun
labhati	verb
buddho	noun
samāno	present active participle
kiṃ	interrogative pronoun
labhati	verb
.	@point@

Yāni	relative pronoun
tāni	pronoun
samaṇārahāni	adjective
samaṇaṅgāni	adjective
samaṇūpabhogāni	adjective
samaṇānucchavikāni	adjective
,	@comma@
tāni	pronoun
khippaṃ	adverb
paṭilabhati	verb
.	@point@

Buddho	noun
samāno	present active participle
idaṃ	demonstrative pronoun
labhati	verb
Etamatthaṃ	@sandhi@
bhagavā	noun
avoca	verb
.	@point@

Mahāpañño	adjective
hoti	verb
,	@comma@
nāssa	@sandhi@
hoti	verb
koci	indefinite personal pronoun
paññāya	noun
sadiso	adjective
vā	coordinative conjunciton
seṭṭho	adjective
vā	coordinative conjunciton
kāmabhogīnaṃ	adjective
.	@point@

Rājā	noun
samāno	present active participle
idaṃ	demonstrative pronoun
labhati	verb
buddho	noun
samāno	present active participle
kiṃ	interrogative pronoun
labhati	verb
.	@point@

Mahāpañño	adjective
hoti	verb
puthupañño	adjective
hāsapañño	adjective
javanapañño	adjective
tikkhapañño	adjective
nibbedhikapañño	adjective
,	@comma@
nāssa	@sandhi@
Na	negation particle
assa	demonstrative pronoun
hoti	verb
koci	indefinite personal pronoun
paññāya	noun
sadiso	adjective
vā	coordinative conjunciton
seṭṭho	adjective
vā	coordinative conjunciton
sabbasattānaṃ	noun
.	@point@

Rājā	noun
samāno	present active participle
idaṃ	demonstrative pronoun
labhati	verb
buddho	noun
samāno	present active participle
kiṃ	interrogative pronoun
labhati	verb
.	@point@

Buddho	noun
samāno	present active participle
idaṃ	demonstrative pronoun
labhati	verb
Etamatthaṃ	@sandhi@
bhagavā	noun
avoca	verb
.	@point@

'	@quote@
'	@quote@
So	pronoun
tehi	pronoun
lakkhaṇehi	noun
samannāgato	past passive participle
sace	conjunction
agāraṃ	noun
ajjhāvasati	verb
,	@comma@
rājā	noun
hoti	verb
cakkavattī	noun
dhammiko	adjective
dhammarājā	noun
cāturanto	adjective
vijitāvī	adjective
janapadatthāvariyappatto	past passive participle
sattaratanasamannāgato	past passive participle
.	@point@

Sace	conjunction
tesaṃ	pronoun
bhavataṃ	noun
samaṇabrāhmaṇānaṃ	noun
saccaṃ	adjective
vacanaṃ	noun
,	@comma@
bhavanto	noun
kāyassa	noun
bhedā	noun
paraṃ	adverb
maraṇā	noun
sugatiṃ	noun
saggaṃ	noun
lokaṃ	noun
upapajjissanti	verb
,	@comma@
devānaṃ	noun
tāvatiṃsānaṃ	cardinal adjecitve
sahabyataṃ	noun
.	@point@

Bhavanto	noun
kho	emphatic particle
pana	conjunction
me	personal pronoun
saddhāyikā	adjective
paccayikā	adjective
,	@comma@
yaṃ	relative pronoun
bhavantehi	noun
diṭṭhaṃ	past passive participle
,	@comma@
yathā	adverb
sāmaṃ	adverb
diṭṭhaṃ	past passive participle
evametaṃ	@sandhi@
evaṃ	demonstrative adverb
etaṃ	demonstrative pronoun
bhavissatīti	@sandhi@
bhavissati	verb
iti	quotation particle
.	@point@

Te	pronoun
me	pronoun
'	@quote@
sādhū	@sandhi@
ti	quotation particle
paṭissutvā	absolutive
neva	@sandhi@
āgantvā	absolutive
ārocenti	verb
,	@comma@
na	negation particle
pana	conjunction
dūtaṃ	noun
pahiṇanti	verb
.	@point@

evaṃ	demonstrative adverb
dīghāyukā	adjective
Na	negation particle
atthi	verb
Na	negation particle
atthi	verb

Na	negation particle
mayaṃ	pronoun
bhoto	noun
kassapassa	proper noun
saddahāma	verb
'	@quote@
atthi	verb
devā	noun
tāvatiṃsā	cardinal adjecitve
ti	quotation particle
vā	coordinative conjunciton
'	@quote@
evaṃdīghāyukā	@sandhi@
devā	noun
tāvatiṃsā	cardinal adjecitve
ti	quotation particle
vā	coordinative conjunciton
ti	quotation particle
.	@point@

So	pronoun
evaṃ	demonstrative adverb
vadeyya	verb
'	@quote@
na	negation particle
atthi	verb
Na	negation particle
atthi	verb
kaṇhasukkāni	adjective
rūpāni	noun
,	@comma@
na	negation particle
atthi	verb
kaṇhasukkānaṃ	adjective
rūpānaṃ	noun
dassāvī	noun
.	@point@

Na	negation particle
atthi	verb
Na	negation particle
atthi	verb
Na	negation particle
atthi	verb
Na	negation particle
atthi	verb

Natthi	@sandhi@
lohitakāni	adjective
rūpāni	noun
,	@comma@
natthi	@sandhi@
lohitakānaṃ	adjective
rūpānaṃ	noun
dassāvī	noun
.	@point@

Natthi	@sandhi@
mañjiṭṭhakāni	adjective
rūpāni	noun
,	@comma@
na	negation particle
atthi	verb
mañjiṭṭhakānaṃ	adjective
rūpānaṃ	noun
dassāvī	noun
.	@point@

Natthi	@sandhi@
samavisamaṃ	noun
,	@comma@
natthi	@sandhi@
samavisamassa	noun
dassāvī	noun
.	@point@

Sā	personal pronoun
attānaṃ	noun
ceva	@sandhi@
jīvitañca	@sandhi@
gabbhañca	@sandhi@
sāpateyyañca	@sandhi@
vināsesi	verb
.	@point@

Na	negation particle
kho	emphatic particle
,	@comma@
rājañña	noun
,	@comma@
samaṇabrāhmaṇā	noun
sīlavanto	adjective
kalyāṇadhammā	adjective
apakkaṃ	noun
paripācenti	verb
;	@semicolon@
api	coordinative conjunciton
ca	coordinative conjunciton
paripākaṃ	noun
āgamenti	verb
.	@point@

Na	negation particle
eva	emphatic particle
assa	demonstrative pronoun

Te	pronoun
taṃ	pronoun
purisaṃ	noun
uttānaṃ	adjective
nipātenti	verb
.	@point@

Te	personal pronoun
taṃ	personal pronoun
purisaṃ	noun
odhunanti	verb
sandhunanti	verb
niddhunanti	verb
.	@point@

Yaṃnūnāhaṃ	@sandhi@
aggiṃ	noun
nibbattetvā	absolutive
aggiṃ	noun
paricareyya	@sandhi@
nti	@sandhi@
.	@point@

Nevāhaṃ	@sandhi@
aggiṃ	noun
adhigacchiṃ	verb
.	@point@

Na	negation particle
tveva	@sandhi@
yathā	adverb
tvaṃ	pronoun
bālo	adjective
abyatto	adjective
ayoniso	adjective
aggiṃ	noun
gavesī	@sandhi@
ti	quotation particle
.	@point@

Evameva	@sandhi@
kho	emphatic particle
tvaṃ	pronoun
,	@comma@
rājañña	noun
,	@comma@
bālo	adjective
abyatto	adjective
ayoniso	adjective
paralokaṃ	noun
gavesissasi	verb
.	@point@

Ayaṃ	demonstrative pronoun
bho	noun
puriso	noun
neva	@sandhi@
na	negation particle
eva	emphatic particle
amhākaṃ	personal pronoun
mitto	noun
,	@comma@
na	negation particle
ñātisālohito	noun
,	@comma@
kathaṃ	interrogative adverb
mayaṃ	personal pronoun
imassa	demonstrative pronoun
saddhāya	noun
gamissāma	verb
.	@point@

Te	personal pronoun
paṭhamepi	@sandhi@
paṭhame	ordinal adjective
pi	coordinative conjunciton
satthavāse	noun
na	negation particle
addasaṃsu	verb
tiṇaṃ	noun
vā	coordinative conjunciton
kaṭṭhaṃ	noun
vā	coordinative conjunciton
udakaṃ	noun
vā	coordinative conjunciton
.	@point@

Tattha	adverb
addasa	verb
pahūtaṃ	adjective
sukkhagūthaṃ	noun
chaḍḍitaṃ	past passive participle
.	@point@

So	pronoun
uggharantaṃ	present active participle
paggharantaṃ	present active participle
yāva	adverb
agganakhā	noun
gūthena	noun
makkhito	past passive participle
gūthabhāraṃ	noun
ādāya	absolutive
agamāsi	verb
.	@point@

Atha	coordinative conjunciton
kho	emphatic particle
so	pronoun
sahāyako	noun
sāṇasuttabhāraṃ	noun
chaḍḍetvā	absolutive
sāṇibhāraṃ	noun
ādiyi	verb
.	@point@

Atha	coordinative conjunciton
kho	emphatic particle
so	pronoun
sahāyako	noun
sajjhabhāraṃ	noun
chaḍḍetvā	absolutive
suvaṇṇabhāraṃ	noun
ādiyi	verb
.	@point@

Atha	coordinative conjunciton
kho	emphatic particle
āyasmā	adjective
ānando	proper noun
yena	relative pronoun
bhagavā	noun
tenupasaṅkami	@sandhi@
,	@comma@
upasaṅkamitvā	absolutive
bhagavantaṃ	noun
abhivādetvā	absolutive
ekamantaṃ	@sandhi@
nisīdi	verb
.	@point@

Ekamantaṃ	@sandhi@
nisinno	past passive participle
kho	emphatic particle
āyasmā	adjective
ānando	proper noun
bhagavantaṃ	noun
etadavoca	@sandhi@
etad	pronoun
avoca	verb
'	@quote@
'	@quote@
acchariyaṃ	noun
,	@comma@
bhante	noun
,	@comma@
abbhutaṃ	noun
,	@comma@
bhante	noun
.	@point@

Gambhīro	adjective
cāyaṃ	@sandhi@
ca	coordinative conjunciton
ayaṃ	demonstrative pronoun
,	@comma@
ānanda	proper noun
,	@comma@
paṭiccasamuppādo	noun
